Order_ID,Order_Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method
ORD00001,2025-04-29,CUST0374,North,Office Supplies,Stapler,8,1142.42,0.16,7677.06,5494.18,2182.88,Debit Card
ORD00002,2025-12-11,CUST0401,South,Accessories,Mouse,9,1417.21,0.01,12627.34,8800.64,3826.7,Credit Card
ORD00003,2025-11-18,CUST0328,South,Electronics,Monitor,7,70.24,0.17,408.09,226.11,181.98,UPI
ORD00004,2025-03-18,CUST0490,North,Office Supplies,Stapler,2,1122.7,0.01,2222.95,1354.44,868.51,Debit Card
ORD00005,2024-06-19,CUST0424,South,Office Supplies,Stapler,8,360.41,0.03,2796.78,1333.88,1462.9,UPI
ORD00006,2025-01-31,CUST0210,North,Accessories,USB Hub,7,486.63,0.13,2963.58,2153.79,809.79,Net Banking
ORD00007,2024-05-20,CUST0274,East,Electronics,Laptop,2,56.11,0.22,87.53,40.04,47.49,UPI
ORD00008,2025-11-27,CUST0272,West,Electronics,Keyboard,4,97.97,0.02,384.04,177.87,206.17,UPI
ORD00009,2025-11-19,CUST0003,Central,Office Supplies,Notebook,9,517.83,0.13,4054.61,2863.75,1190.86,Debit Card
ORD00010,2025-12-05,CUST0437,North,Furniture,Cabinet,2,458.54,0.06,862.06,400.63,461.43,UPI
ORD00011,2024-03-01,CUST0485,East,Office Supplies,Notebook,9,1025.88,0.05,8771.27,6863.4,1907.87,Net Banking
ORD00012,2024-08-13,CUST0153,West,Office Supplies,Printer Paper,7,1321.1,0.24,7028.25,4312.47,2715.78,Net Banking
ORD00013,2025-05-07,CUST0366,South,Office Supplies,Stapler,8,1415.24,0.16,9510.41,6302.62,3207.79,UPI
ORD00014,2025-05-31,CUST0261,North,Office Supplies,Printer Paper,9,346.32,0.05,2961.04,2140.4,820.64,Credit Card
ORD00015,2025-11-20,CUST0338,North,Accessories,USB Hub,4,1492.46,0.04,5731.05,3373.78,2357.27,Net Banking
ORD00016,2024-11-24,CUST0068,Central,Electronics,Keyboard,3,352.17,0.06,993.12,633.55,359.57,Debit Card
ORD00017,2024-07-13,CUST0409,South,Accessories,USB Hub,9,598.93,0.07,5013.04,3092.23,1920.81,Net Banking
ORD00018,2024-08-13,CUST0472,West,Accessories,Webcam,9,507.0,0.23,3513.51,2485.19,1028.32,UPI
ORD00019,2024-02-06,CUST0316,Central,Accessories,Webcam,8,1049.66,0.01,8313.31,5290.68,3022.63,Net Banking
ORD00020,2024-04-24,CUST0186,East,Office Supplies,Notebook,1,111.05,0.22,86.62,54.62,32.0,Net Banking
ORD00021,2024-08-03,CUST0147,West,Furniture,Cabinet,2,824.79,0.22,1286.67,909.51,377.16,Credit Card
ORD00022,2024-12-21,CUST0191,East,Electronics,Keyboard,9,514.33,0.06,4351.23,3374.52,976.71,Debit Card
ORD00023,2024-01-31,CUST0023,South,Furniture,Cabinet,7,1324.82,0.24,7048.04,4319.85,2728.19,Debit Card
ORD00024,2025-12-18,CUST0077,Central,Accessories,Laptop Stand,5,1120.39,0.04,5377.87,3959.66,1418.21,Net Banking
ORD00025,2024-01-17,CUST0360,South,Accessories,USB Hub,2,444.82,0.15,756.19,599.97,156.22,Net Banking
ORD00026,2025-03-30,CUST0074,North,Furniture,Cabinet,8,1231.65,0.03,9557.6,5248.75,4308.85,Net Banking
ORD00027,2024-08-29,CUST0324,East,Furniture,Chair,5,171.71,0.23,661.08,456.65,204.43,Net Banking
ORD00028,2024-04-29,CUST0210,South,Furniture,Desk,6,1068.69,0.12,5642.68,2653.6,2989.08,Debit Card
ORD00029,2024-01-29,CUST0395,North,Accessories,Laptop Stand,4,978.41,0.15,3326.59,1943.61,1382.98,Debit Card
ORD00030,2024-10-11,CUST0004,North,Accessories,USB Hub,3,393.71,0.0,1181.13,597.21,583.92,UPI
ORD00031,2024-05-09,CUST0175,West,Electronics,Laptop,9,262.16,0.2,1887.55,1307.67,579.88,Debit Card
ORD00032,2024-01-21,CUST0303,Central,Electronics,Keyboard,3,1427.28,0.04,4110.57,2471.76,1638.81,UPI
ORD00033,2025-07-23,CUST0380,South,Accessories,Laptop Stand,6,1144.94,0.11,6113.98,3418.83,2695.15,Credit Card
ORD00034,2024-07-26,CUST0027,West,Furniture,Bookshelf,1,984.47,0.09,895.87,674.16,221.71,Debit Card
ORD00035,2025-07-15,CUST0500,East,Furniture,Desk,1,154.92,0.04,148.72,90.54,58.18,Credit Card
ORD00036,2025-06-10,CUST0153,North,Electronics,Headphones,5,1369.52,0.24,5204.18,2679.69,2524.49,Debit Card
ORD00037,2025-12-26,CUST0117,South,Accessories,Laptop Stand,4,656.85,0.05,2496.03,1552.68,943.35,Net Banking
ORD00038,2024-12-31,CUST0495,East,Electronics,Headphones,1,37.2,0.02,36.46,21.42,15.04,Credit Card
ORD00039,2025-11-21,CUST0088,North,Electronics,Laptop,1,1429.92,0.23,1101.04,774.58,326.46,Credit Card
ORD00040,2024-04-01,CUST0148,North,Office Supplies,Pen Set,9,864.94,0.0,7784.46,4817.22,2967.24,Debit Card
ORD00041,2025-08-11,CUST0116,South,Office Supplies,Pen Set,2,503.16,0.13,875.5,420.9,454.6,Debit Card
ORD00042,2024-05-22,CUST0482,South,Office Supplies,Stapler,2,1466.65,0.05,2786.64,1930.08,856.56,UPI
ORD00043,2024-01-09,CUST0262,North,Furniture,Cabinet,1,1428.29,0.03,1385.44,1058.03,327.41,UPI
ORD00044,2024-11-13,CUST0084,East,Accessories,USB Hub,9,1069.41,0.22,7507.26,5254.56,2252.7,UPI
ORD00045,2025-05-29,CUST0127,North,Accessories,USB Hub,4,838.44,0.15,2850.7,2064.88,785.82,Net Banking
ORD00046,2024-10-27,CUST0243,South,Accessories,Webcam,2,109.32,0.06,205.52,103.96,101.56,UPI
ORD00047,2024-10-14,CUST0307,West,Accessories,USB Hub,4,1121.53,0.22,3499.17,2105.73,1393.44,Debit Card
ORD00048,2024-02-28,CUST0131,West,Office Supplies,Printer Paper,2,986.83,0.08,1815.77,1161.85,653.92,Debit Card
ORD00049,2024-11-27,CUST0305,Central,Furniture,Bookshelf,3,346.43,0.1,935.36,487.56,447.8,UPI
ORD00050,2025-06-15,CUST0444,South,Furniture,Chair,8,649.73,0.09,4730.03,2742.77,1987.26,Credit Card
ORD00051,2025-07-31,CUST0335,South,Office Supplies,Stapler,9,669.15,0.18,4938.33,3063.41,1874.92,Net Banking
ORD00052,2024-09-24,CUST0131,Central,Furniture,Chair,7,429.71,0.15,2556.77,1966.99,589.78,Debit Card
ORD00053,2025-04-22,CUST0087,South,Office Supplies,Pen Set,5,1105.01,0.03,5359.3,3754.4,1604.9,Net Banking
ORD00054,2024-11-13,CUST0316,Central,Accessories,Webcam,2,287.85,0.21,454.8,283.02,171.78,UPI
ORD00055,2024-05-24,CUST0379,North,Office Supplies,Printer Paper,8,877.53,0.17,5826.8,2816.33,3010.47,Credit Card
ORD00056,2025-04-04,CUST0440,West,Accessories,Laptop Stand,2,1289.82,0.0,2579.64,1692.1,887.54,Credit Card
ORD00057,2024-12-26,CUST0257,Central,Accessories,USB Hub,3,674.2,0.08,1860.79,1129.63,731.16,Net Banking
ORD00058,2024-04-16,CUST0421,Central,Electronics,Headphones,1,393.74,0.09,358.3,208.81,149.49,Net Banking
ORD00059,2025-12-19,CUST0390,West,Office Supplies,Notebook,1,1269.37,0.2,1015.5,665.02,350.48,UPI
ORD00060,2024-01-20,CUST0282,Central,Electronics,Laptop,4,419.23,0.01,1660.15,1055.7,604.45,Credit Card
ORD00061,2025-11-21,CUST0206,West,Office Supplies,Stapler,3,689.25,0.23,1592.17,892.66,699.51,Debit Card
ORD00062,2024-08-04,CUST0306,Central,Office Supplies,Pen Set,5,730.25,0.17,3030.54,1382.18,1648.36,Credit Card
ORD00063,2024-05-30,CUST0384,Central,Electronics,Keyboard,8,783.08,0.12,5512.88,3767.52,1745.36,Net Banking
ORD00064,2024-05-08,CUST0264,Central,Electronics,Headphones,2,318.74,0.17,529.11,417.72,111.39,Net Banking
ORD00065,2024-04-28,CUST0218,East,Office Supplies,Printer Paper,5,1445.75,0.06,6795.02,4631.29,2163.73,Debit Card
ORD00066,2025-08-10,CUST0475,North,Furniture,Chair,2,381.34,0.21,602.52,453.46,149.06,Debit Card
ORD00067,2024-10-30,CUST0069,North,Accessories,Laptop Stand,1,908.9,0.24,690.76,510.74,180.02,Debit Card
ORD00068,2025-11-11,CUST0089,Central,Electronics,Monitor,2,1499.13,0.01,2968.28,2350.91,617.37,Credit Card
ORD00069,2025-10-05,CUST0102,East,Accessories,Mouse,9,181.48,0.16,1371.99,984.84,387.15,Debit Card
ORD00070,2025-10-02,CUST0344,North,Furniture,Chair,2,1319.28,0.08,2427.48,1830.6,596.88,Credit Card
ORD00071,2025-08-27,CUST0473,North,Furniture,Bookshelf,1,562.36,0.1,506.12,350.95,155.17,Credit Card
ORD00072,2025-09-13,CUST0462,South,Furniture,Cabinet,1,677.74,0.0,677.74,444.24,233.5,Debit Card
ORD00073,2025-03-29,CUST0412,Central,Electronics,Monitor,9,582.08,0.22,4086.2,2581.17,1505.03,Credit Card
ORD00074,2024-10-26,CUST0228,East,Furniture,Chair,9,582.69,0.1,4719.79,3082.31,1637.48,Net Banking
ORD00075,2024-01-21,CUST0407,East,Electronics,Keyboard,6,1125.38,0.18,5536.87,3501.69,2035.18,UPI
ORD00076,2024-11-19,CUST0277,Central,Furniture,Cabinet,5,1349.09,0.06,6340.72,4910.65,1430.07,Debit Card
ORD00077,2025-05-08,CUST0027,Central,Accessories,USB Hub,2,266.17,0.15,452.49,286.46,166.03,UPI
ORD00078,2024-01-02,CUST0433,Central,Accessories,Laptop Stand,3,879.78,0.02,2586.55,1813.62,772.93,Net Banking
ORD00079,2024-02-08,CUST0397,North,Office Supplies,Printer Paper,9,793.27,0.03,6925.25,5199.45,1725.8,Debit Card
ORD00080,2025-01-19,CUST0172,Central,Accessories,Mouse,8,1445.13,0.12,10173.72,7448.15,2725.57,Debit Card
ORD00081,2024-01-26,CUST0009,South,Office Supplies,Stapler,7,964.22,0.13,5872.1,3862.31,2009.79,Net Banking
ORD00082,2024-06-02,CUST0347,Central,Accessories,Webcam,9,1262.99,0.23,8752.52,5021.3,3731.22,Net Banking
ORD00083,2024-05-25,CUST0403,West,Electronics,Monitor,8,1237.47,0.11,8810.79,6023.43,2787.36,Debit Card
ORD00084,2024-08-13,CUST0161,Central,Accessories,Mouse,7,888.18,0.04,5968.57,4225.19,1743.38,Credit Card
ORD00085,2025-10-11,CUST0457,Central,Office Supplies,Printer Paper,5,970.12,0.15,4123.01,2644.27,1478.74,Credit Card
ORD00086,2025-07-07,CUST0374,Central,Office Supplies,Notebook,9,1481.92,0.03,12937.16,8969.34,3967.82,UPI
