Order_ID,Order_Date,Customer_ID,Region,Category,Product,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Payment_Method,Profit_Margin,Month,Month_Name,Year,Order_Value,Anomaly,Anomaly_Label
ORD00002,2025-12-11,CUST0401,South,Accessories,Mouse,9,1417.21,0.01,12627.34,8800.64,3826.7,Credit Card,30.304878145357613,12,December,2025,12627.34,-1,Anomaly
ORD00086,2025-07-07,CUST0374,Central,Office Supplies,Notebook,9,1481.92,0.03,12937.16,8969.34,3967.82,UPI,30.669946108728656,7,July,2025,12937.16,-1,Anomaly
ORD00093,2025-10-09,CUST0468,East,Furniture,Chair,9,1236.27,0.0,11126.43,6178.49,4947.94,Net Banking,44.47014900556602,10,October,2025,11126.43,-1,Anomaly
ORD00141,2024-05-17,CUST0050,East,Accessories,USB Hub,9,1426.46,0.05,12196.23,7902.46,4293.77,Credit Card,35.20571520871614,5,May,2024,12196.23,-1,Anomaly
ORD00297,2024-12-26,CUST0057,South,Furniture,Chair,8,1485.74,0.08,10935.05,8523.27,2411.78,Debit Card,22.055500432096792,12,December,2024,10935.05,-1,Anomaly
ORD00306,2024-02-23,CUST0178,East,Electronics,Monitor,6,1465.97,0.03,8531.95,3864.22,4667.73,Net Banking,54.70882975169802,2,February,2024,8531.95,-1,Anomaly
ORD00335,2025-11-15,CUST0082,South,Furniture,Desk,8,1452.74,0.02,11389.48,7709.67,3679.81,Credit Card,32.308849921155314,11,November,2025,11389.48,-1,Anomaly
ORD00374,2025-12-20,CUST0201,West,Accessories,Laptop Stand,9,1411.82,0.0,12706.38,8042.71,4663.67,Net Banking,36.703372636423595,12,December,2025,12706.38,-1,Anomaly
ORD00387,2024-04-07,CUST0208,North,Office Supplies,Pen Set,9,1261.99,0.04,10903.59,5001.91,5901.68,Net Banking,54.12602638213653,4,April,2024,10903.59,-1,Anomaly
ORD00449,2024-01-12,CUST0424,North,Office Supplies,Printer Paper,9,1495.43,0.05,12785.93,8412.5,4373.43,Net Banking,34.20502067507017,1,January,2024,12785.93,-1,Anomaly
ORD00527,2024-05-05,CUST0409,North,Office Supplies,Pen Set,9,1369.49,0.02,12078.9,9043.05,3035.85,Debit Card,25.133497255544796,5,May,2024,12078.9,-1,Anomaly
ORD00536,2024-01-01,CUST0034,West,Furniture,Chair,8,1466.83,0.15,9974.44,7963.75,2010.69,Debit Card,20.15842493413164,1,January,2024,9974.44,-1,Anomaly
ORD00628,2024-01-25,CUST0156,Central,Furniture,Cabinet,8,1397.88,0.01,11071.21,7102.81,3968.4,Net Banking,35.84432053948937,1,January,2024,11071.21,-1,Anomaly
ORD00652,2024-12-13,CUST0171,East,Accessories,Mouse,9,1489.56,0.19,10858.89,5744.83,5114.06,Debit Card,47.09560553610913,12,December,2024,10858.89,-1,Anomaly
ORD00726,2024-04-24,CUST0220,West,Electronics,Monitor,8,1448.09,0.07,10773.79,6355.25,4418.54,UPI,41.011937303400195,4,April,2024,10773.79,-1,Anomaly
ORD00806,2025-08-05,CUST0103,East,Accessories,Webcam,9,1354.41,0.23,9386.06,4253.62,5132.44,Debit Card,54.68151705827579,8,August,2025,9386.06,-1,Anomaly
ORD00836,2025-06-23,CUST0035,North,Accessories,Mouse,8,1408.9,0.04,10820.35,5298.02,5522.33,UPI,51.03651915141377,6,June,2025,10820.35,-1,Anomaly
ORD00886,2025-03-03,CUST0138,Central,Electronics,Headphones,9,1386.37,0.17,10356.18,5120.99,5235.19,Debit Card,50.55136160244413,3,March,2025,10356.18,-1,Anomaly
ORD00893,2024-12-16,CUST0180,South,Electronics,Laptop,9,1476.5,0.18,10896.57,7856.3,3040.27,Net Banking,27.901165229058318,12,December,2024,10896.57,-1,Anomaly
ORD00966,2024-08-16,CUST0317,North,Electronics,Monitor,9,1462.04,0.01,13026.78,7484.16,5542.62,UPI,42.54788980853288,8,August,2024,13026.78,-1,Anomaly
ORD00980,2025-04-13,CUST0090,East,Furniture,Cabinet,9,1219.01,0.02,10751.67,7223.48,3528.19,UPI,32.81527427832142,4,April,2025,10751.67,-1,Anomaly
ORD00985,2025-05-13,CUST0441,Central,Accessories,Mouse,9,1474.22,0.13,11543.14,8377.73,3165.41,UPI,27.42243445024491,5,May,2025,11543.14,-1,Anomaly
ORD01038,2024-09-14,CUST0486,Central,Office Supplies,Notebook,9,1303.68,0.06,11029.13,7967.78,3061.35,Debit Card,27.756949097526277,9,September,2024,11029.13,-1,Anomaly
ORD01069,2025-08-14,CUST0134,Central,Electronics,Monitor,9,1499.57,0.21,10661.94,6147.88,4514.06,Credit Card,42.33807355884577,8,August,2025,10661.94,-1,Anomaly
ORD01107,2024-04-20,CUST0234,Central,Electronics,Headphones,9,1296.26,0.07,10849.7,7490.25,3359.45,Credit Card,30.963528945500794,4,April,2024,10849.7,-1,Anomaly
ORD01139,2025-06-14,CUST0447,West,Accessories,Mouse,9,1382.0,0.11,11069.82,8834.78,2235.04,Debit Card,20.19039153301499,6,June,2025,11069.82,-1,Anomaly
ORD01212,2025-12-23,CUST0025,Central,Accessories,Mouse,9,1256.52,0.04,10856.33,8131.62,2724.71,Net Banking,25.097892197455312,12,December,2025,10856.33,-1,Anomaly
ORD01226,2025-05-12,CUST0234,South,Furniture,Cabinet,9,1241.29,0.08,10277.88,8186.96,2090.92,Credit Card,20.343884147314427,5,May,2025,10277.88,-1,Anomaly
ORD01306,2025-07-22,CUST0075,West,Office Supplies,Stapler,9,1410.22,0.09,11549.7,5415.53,6134.17,Credit Card,53.11107647817692,7,July,2025,11549.7,-1,Anomaly
ORD01561,2024-03-11,CUST0315,East,Office Supplies,Pen Set,9,1230.95,0.0,11078.55,8831.81,2246.74,Credit Card,20.280090806107296,3,March,2024,11078.55,-1,Anomaly
ORD01566,2024-02-27,CUST0030,South,Office Supplies,Printer Paper,8,1405.21,0.04,10792.01,5015.62,5776.39,Debit Card,53.52469095191721,2,February,2024,10792.01,-1,Anomaly
ORD01654,2025-12-29,CUST0431,West,Office Supplies,Stapler,8,1479.24,0.01,11715.58,8907.19,2808.39,Net Banking,23.971412426870884,12,December,2025,11715.58,-1,Anomaly
ORD01655,2025-01-12,CUST0388,Central,Furniture,Bookshelf,8,1469.44,0.08,10815.08,5870.75,4944.33,Credit Card,45.71699885715131,1,January,2025,10815.08,-1,Anomaly
